Year,Month,"Broker volume, tons","Farmer volume, tons","Regular volume, tons"
2023,Jan,4804.6,10274.13,15078.73
2023,Feb,2640.5,9157.19,11797.69
2023,Mar,8018.24,6003.38,14021.62
2023,Apr,9221.1,3760.88,12981.98
2023,May,7702.79,9633.86,17336.65
2023,Jun,5578.19,8101.1,13679.29
2023,Jul,3548.08,16428.05,19976.13
2023,Aug,2506.02,18052.19,20558.21
2023,Sep,3520.43,15420.86,18941.29
2023,Oct,11094.08,9593.27,20687.35
2023,Nov,16434.21,4362.5,20796.71
2023,Dec,7325.32,6907.6,14232.92
2024,Jan,4234.08,9575.65,13809.73
2024,Feb,3245.03,10546.3,13791.33
2024,Mar,1338.08,13492.02,14830.1
2024,Apr,2640.81,10200.57,12841.38
2024,May,8986.26,13518.02,22504.28
2024,Jun,14170.48,8314.46,22484.94
2024,Jul,6892.07,14025.3,20917.37
2024,Aug,0,19932.19,19932.19
2024,Sep,234.47,16762.41,16996.88
2024,Oct,4387.25,12948.55,17335.8
2024,Nov,15117.52,2410.03,17527.55
2024,Dec,11345.16,4061.9,15407.06
2025,Jan,9676.56,3403.51,13080.07
2025,Feb,5930.81,7503.66,13434.47
2025,Mar,3267.41,11132.67,14400.08
2025,Apr,7069.06,7272.36,14341.42
2025,May,12334.76,8752.76,21087.52
2025,Jun,12229.01,7610.76,19839.77
2025,Jul,8406.65,13120.33,21526.98
2025,Aug,4467.04,13494.76,17961.8
2025,Sep,4044.1,12933.71,16977.81
2025,Oct,12841.05,5018.33,17859.38
2025,Nov,16879.28,913.569,17792.849
2025,Dec,11504.19,1842.913,13347.103
2026,Jan,13961.18,1649.441,15610.621
2026,Feb,11867.5,2759.642,14627.142
2026,Mar,9256.1,4837.228,14093.328
2026,Apr,10871.59,1184.998,12056.588
2026,May,20050.11,2212.385,22262.495
2026,Jun,,,0
2026,Jul,,,0
2026,Aug,,,0
2026,Sep,,,0
2026,Oct,,,0
2026,Nov,,,0
2026,Dec,,,0
