,Ethanol (THB./Liter)
,Month,THB./Liter
,43101,24.57
,43132,24.45
,43160,24.44
,43191,23.59
,43221,23.59
,43252,23.59
,43282,23.4
,43313,23.4
,43344,23.4
,43374,23.31
,43405,23.31
,43435,23.31
,43466,22.33
,43497,22.33
,43525,22.33
,43556,21.96
,43586,21.96
,43617,21.96
,43647,21.96
,43678,21.96
,43709,21.96
,43739,22.04
,43770,22.04
,43800,22.04
,43831,22.0725
,43862,22.61
,43891,22.61
,43922,22.61
,43952,23.28
,43983,23.28
,44013,23.28
,44044,23.16
,44075,23.16
,44105,23.16
,44136,23.8
,44166,23.8
,44197,24.83
,44228,24.83
,44256,24.83
,44287,25.84
,44317,25.84
,44348,25.84
,44378,25.68
,44409,25.68
,44440,25.69
,44470,25.15
,44501,25.15
,44531,25.14
,44927,29.19
,44958,29.16
,44986,29.2
,45017,29.01
,45047,29.01
,45078,29.01
,45108,29.1
,45139,29.1
,45170,29.1
,45200,29.88
,45231,30.44
,45261,30.29
,45292,31.1
,45323,31.32
,45352,31.09
,45383,31.18
,45413,30.65
,45444,30.4
,45474,30.52
,45505
,45536
,45566
,45597
,45627
,45658
,45689
,45717
,45748,19.38
,45778,19.37
,45809,19.39
,45839,18.34
,45870,18.33
,45901,18.33
,45931,19.81
,45962,19.8
,45992,19.8
,46023,20.83
,46054,20.82
,46082,20.82
,46113,21.41
,46143,21.98
,46174,21.98
,Diff Dec-25,1.61,,"***In 2022, Thailand capped diesel prices at 30–35 baht/liter using the Oil Fuel Fund to cushion the impact of soaring global oil prices from the Russia-Ukraine crisis."
,,0.0813131313,,"***According to the Ministry of Energy’s policy, ethanol prices will no longer be disclosed starting from August 2024 onwards."
,,,,***Reference TTTa_Price has been used since April 2025.
