,KSN plant

,Starch content in root (%)
,Month,2026 El Niño,2025 La Niña,2024 El Niño,2023 El Niño,2022 La Niña,2021 La Niña,2020 La Niña,2019,2018,2017,2016,2015
,Jan,27.4640323405,27.9987110161,27.8310582466,28.8901651532,29.7968498807,29.9517440567,27.9837585642,28.3262999166,29.3602673531,28.66,28.58,29.96
,Feb,27.3333333333,28.3323718762,27.7639139952,28.97,28.8970749576,29.8883289676,28.3287125971,27.99,29.1352150099,29,29.1,29.91
,Mar,26.1846153846,26.5712551597,25.8576476221,27.4716188286,27.2595846271,27.5284011171,26.0647751424,26.1226637067,27.2933102376,27.49,28.3,27.3516029755
,Apr,#REF!,23.546041187,23.0143331558,23.5491966557,25.455601163,24.7523915957,22.9827050094,23.57,25.585358963,25.4,25.24,25.8194863007
,May,#REF!,20.6541641691,18.6140280871,20.1109153152,22.7129724872,21.8414516725,21.19704189,20.38,24.1549123052,23.99,21.2,23.81
,Jun,#REF!,20.6039233318,17.5470464142,18.8284845193,23.3368831504,21.9016151567,19.7679313888,21.13,24.5296967956,24.8,20.1,23.1368974174
,Jul,#REF!,22.5948064615,20.0862488927,22.098549619,23.9621621182,24.1323127567,21.6131567292,23.39,24.9021714648,25.36,22.84,23.0489734364
,Aug,#REF!,24.4020365442,22.9716052275,23.5215274092,24.7585634222,25.2025691757,23.4973262494,24.4,25.3989047314,25.32,25.21,24.14
,Sep,#REF!,24.3259760829,24.3936946075,23.5004754956,25.5023837716,24.6371146287,24.4753756885,24.18,26.3636599696,26,26.02,25.3222799541
,Oct,#REF!,24.3185429729,24.9298272938,22.9770827486,25.8383812366,25.089758934,24.9523116547,25.16,26.6063738462,25.81,26.95,25.61
,Nov,#REF!,25.2910874475,24.4749893739,24.1354402595,27.6950880515,26.6392136959,26.1233223741,26.13,27.1427516192,27.15,27.48,26.57
,Dec,#REF!,26.8849802088,26.4270341,26.9224516122,28.1717663881,28.7180512045,28.2932557472,27.34,27.9414266581,28.85,28.39,28.07
,YTD,#REF!,24.2616571313,23.1341315853,24.0146603956,25.909621321,25.5019948662,24.2330867998,24.6033351277,26.4083333333,26.3891477314,25.44,25.82
,,,,"Apr-May : El Niño 
Jun-Aug : La Niña",Drought,Continue rain,Flooding,Co-vid19,Drought/CMD,"Crisis
/Drought
/CMD",Senka - Flooding,Drought
,Price (THB./Kg.)
,Month,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
,Jan,2.9210986834,2.5153376473,3.9841767725,3.2305393757,2.8289854162,2.3969435712,2.5127110277,2.7280059463,2.6969129853,1.7575173216,2.34506173,2.6225754594
,Feb,2.9346666667,2.4836265591,3.9021216953,3.31780001,2.7485421258,2.384914328,2.426258069,2.6591785075,2.7929383669,1.7066414151,2.2563446849,2.4865812679
,Mar,2.8946153846,2.0868943089,3.7081953594,3.7138849149,2.7082810506,2.3299640075,2.2763664981,2.5430463492,2.9580895891,1.616567031,2.2148607516,2.3369920555
,Apr,#REF!,1.9090337637,3.1475714059,3.7531812944,2.9025793135,2.4755762166,2.0372725165,2.4857329037,3.2826206826,1.4814408259,2.1353644387,2.4051347063
,May,#REF!,1.7086305075,2.5878251826,3.1862869124,2.8314929706,2.2663244385,2.0589457601,2.0472088368,3.0082831858,1.4697587528,1.8874036447,2.2677043827
,Jun,#REF!,1.7616423225,2.139536552,2.7686582052,2.8998354811,2.0997120066,1.9367071027,1.9603276074,2.7831103183,1.4530546704,1.7727738078,2.3333356106
,Jul,#REF!,1.9924686138,2.2800426392,2.9913695746,2.9728336532,2.2225413949,2.0233899176,2.0328452612,2.7763126617,1.5712544671,1.7685838647,2.3649370756
,Aug,#REF!,2.1057300493,2.255339328,2.900396411,2.975713846,2.2592082219,2.0236813469,2.0770868078,2.6944051842,1.5526732489,1.6862067368,2.2677514133
,Sep,#REF!,2.1321624815,2.4102102268,3.0694489921,3.06055905,2.4908174024,1.9738632957,1.9726166655,2.9078291804,1.8559300761,1.532145802,2.2959791309
,Oct,#REF!,2.2719309965,2.3921655188,3.2552227569,3.0786551704,2.5653960487,2.1329830159,2.2519282685,3.0302823868,2.0837522457,1.3423228212,2.3608615807
,Nov,#REF!,2.6044363834,2.7203163306,3.8225022371,3.2549138957,2.8182062395,2.3789096396,2.5578976328,3.1416662899,2.4760927622,1.7800996287,2.523436949
,Dec,#REF!,2.2719309965,2.5166381516,3.9160598458,3.1607159585,2.7679215053,2.4757572733,2.5024061276,2.8384839042,2.609565547,1.762954303,2.4857576628
,YTD,#REF!,2.1560262715,2.7456243973,3.3078484843,2.9542224127,2.4156792058,2.1673515493,2.2988835195,2.9087504695,1.8047401197,1.8609757898,2.3840134419
,PPDS (THB./Kg.)
,Month,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
,Jan,10.6360881285,8.983762309,14.3155777159,11.1821422915,9.4942432759,8.0026844737,8.97,9.6306469761,9.1855872865,6.1318817324,8.2055733365,8.7545334293
,Feb,10.7365853659,8.7660382618,14.0546527264,11.4525371419,9.5114890689,7.9794167502,8.5646605389,9.5009204254,9.5861258136,5.8854480704,7.7531671238,8.3136126859
,Mar,11.0546415981,7.85395457,14.3408070743,13.5189882258,9.9351515721,8.463855193,8.7334975486,9.7350192835,10.8381488481,5.8794964389,7.8255763887,8.5442599381
,Apr,#REF!,8.1076634012,13.6765700947,15.9376192286,11.4025172492,10.0013617149,8.8643722124,10.5478716753,12.8300747602,5.8329211185,8.4601465332,9.3151919381
,May,#REF!,8.2725715431,13.9025533349,15.8435698349,12.4664130697,10.3762537053,9.7133636419,10.0459144167,12.4541258845,6.1253329732,8.901529292,9.5257508533
,Jun,#REF!,8.55003338,12.1931435156,14.7046258682,12.4259759216,9.5870190008,9.7972168387,9.2765627905,11.3458814492,5.8586964063,8.8202943692,10.0849114229
,Jul,#REF!,8.8182592633,11.3512615092,13.5364973094,12.4063664978,9.209815144,9.3618435427,8.6915985263,11.1488777823,6.1945750044,7.7443349359,10.2604876618
,Aug,#REF!,8.6293209401,9.8179439602,12.3308166196,12.0189277353,8.9641980791,8.6123898752,8.511094911,10.6083518668,6.1349234849,6.6886556481,9.3958887673
,Sep,#REF!,8.7649616781,9.8804640527,13.061220794,12.0010704779,10.1100207551,8.0646904906,8.1564359772,11.0296870151,7.1391585611,5.8852706296,9.0670316224
,Oct,#REF!,9.3423812398,9.5955960327,14.1672587095,11.9150466209,10.224873246,8.5482381169,8.9517902652,11.3893099613,8.0728120751,4.980061405,9.2185145673
,Nov,#REF!,10.2978426246,11.1146782907,15.8377149786,11.7526757441,10.5791645041,9.106458993,9.8,11.5746050141,9.121102935,6.4783215907,9.499066177
,Dec,#REF!,10.1030445752,9.5229685711,14.5457029775,11.2194454367,9.6382637026,8.7503442356,9.15,10.1586935376,9.0443853233,6.2102758402,8.8545296347
,YTD,#REF!,8.88655816,11.8682838265,13.7742879966,11.402028521,9.4725107525,8.9437700085,9.3437881798,11.0152797869,6.8389481088,7.3165554088,9.2336583045
,"Farmer contribution of regular root at SK plant, %"
,Month,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
,Jan,10.5661459592,26.0205794006,69.339878477,68.1365738361,84.778691075,78.6881629795,27.8927678144,17.7406510988,38.6890619658,56.2121591777,51.7757883877,30.6161325102
,Feb,18.8665837797,55.8537850767,76.4705071955,77.6184998928,76.3786300979,88.4201496141,44.6478722116,13.5120936065,30.8411578865,55.6361662713,69.5290688274,43.3640858107
,Mar,,77.3097788346,90.9772692025,42.8151668637,66.5585004039,68.837247314,49.8527538433,20.3750498521,25.044026011,54.1917956336,64.1390234541,43.3140166168
,Apr,,50.7087861593,79.4351541657,28.970003035,46.6984517253,54.0768059666,36.5683038462,38.0781536731,28.5045946767,64.2724423525,67.9723292907,30.6047275508
,May,,41.5068248898,60.0686624944,55.5693285612,54.2943763703,43.3865565695,20.911684409,49.3460601188,28.2191863685,51.0313573272,51.0873134583,32.2044493338
,Jun,,38.3611301946,36.9779061007,59.2216408893,64.5903820274,63.6391040922,33.8924059964,54.7385532195,45.6447287292,61.4203925715,51.3730574989,47.401981082
Peak sesonal of KSN plant,Jul,,60.9483076586,67.0509724693,82.2384015322,76.9481205942,66.9767095958,57.3918372886,69.677910094,56.6693540513,66.6735283526,76.611994437,63.8501834041
,Aug,,75.1303321493,100,87.8101254924,75.5885693441,57.7880238813,84.1617358387,73.9325966898,57.7266159522,69.3443042745,82.8121477569,92.3428064753
