LE02026 Cost projection E1 (LV:11/2/2026)

SK plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total/Avg.

Day operation,27,28,31,24,31,30,30,31,30,31,30,26,349
Grinding/day without waxy,1088.8185185185,1401.25,1551.6129032258,1252.0833333333,1538.7096774194,1410,1393.3333333333,1345.1612903226,1323.3333333333,1248.3870967742,1245,1176.9230769231,1337.0575931232
"Grinding/month , tons",29398.1,39235,48100,30050,47700,42300,41800,41700,39700,38700,37350,30600,466633.1

"Roots purchased/month , tons",29954.31,41200,48100,30050,47700,42300,41800,41700,39700,38700,37350,30600,469154.31
"Starch content , %",27.0733678793,27.2563106796,25.7422037422,22,20.4350104822,20.8581560284,21.5,22.9776978417,23.9244332494,24.503875969,25.9897590361,26.7450980392,23.9459839007
"Price , THB/kg.",2.8182196819,2.8494174757,2.9097713098,2.9020798669,2.8197589099,2.8361702128,2.7812440191,2.8942446043,2.943324937,2.9290697674,3.0487951807,3.0852941176,2.8964613498,,,,Actual 2025
"PPDS , THB/kg.",10.4095644638,10.4541568711,11.303505088,13.1912721222,13.7986663247,13.597415845,12.9360186937,12.5958859075,12.302590019,11.9534957292,11.7307558584,11.5359237537,12.0958126498,,#REF!,,#REF!

"Weight starch , kg",8109640.541999999,11229600,12382000,6611000,9747500,8822999.999999998,8987000,9581700,9498000,9483000.000000002,9707174.999999998,8183999.999999999,112343615.542
"Amount , THB",84417826,117396000,139960000,87207500,134502500,119970000,116256000,120690000.00000001,116850000,113355000,113872500,94409999.99999999,1358887326
"Co-products prices , THB/kg"
Pulp (moisture 79%),0.282,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.2563333333
Soil Skin,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Wash Skin,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Pulp moisture, actual",0.7875


KSN plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total/Avg.

Day operation,28,28,31,24,31,30,31,31,30,31,30,26,351
Grinding/day without waxy,516.3080357143,600,650,700,700,700,700,700,700,700,700,600,665.5459401709
"Grinding/month , tons",14456.625,16800,20150,16800,21700,21000,21700,21700,21000,21700,21000,15600,233606.625

"Roots purchased/month , tons",15610.621,16800,20150,16800,21700,21000,21700,21700,21000,21700,21000,15600,234760.621
Actual starch content,27.4640323405,27.3333333333,26.1846153846,23.8071428571,21.5514285714,21.4964285714,21.995,23.5,24.4042857143,25.2,25.7,27.5,24.4924939946
Actual price,2.9210986834,2.9346666667,2.8946153846,2.8442857143,2.7264285714,2.755,2.7142857143,2.7942857143,2.8342857143,2.9057142857,2.9971428571,3.0833333333,2.8590040425,,,,Actual 2025
PPDS,10.6360881285,10.7365853659,11.0546415981,11.9471947195,12.6508020681,12.8160824057,12.3404669893,11.8905775076,11.613885149,11.5306122449,11.6620344636,11.2121212121,11.6729804776,,#REF!,,#REF!

"Weight starch , kg",4287305.999999999,4592000.000000001,5276200,3999600,4676659.999999999,4514250,4772914.999999999,5099500,5124900,5468400.000000001,5397000.000000001,4290000,57498731
"Amount , THB",45600164.45,49302400,58326500.00000001,47784000,59163500,57855000,58900000,60635999.99999999,59519999.99999999,63054000,62939999.99999999,48100000,671181564.45

"Co-products prices, THB/kg"
Pulp,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134,0.134
Soil Skin,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Wash Skin,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
