,Day operation,,,27,28,31,24,31,30,30,31,31,31,30,26
,Average Regular Root Grinding/day in period no Grind Waxy,,,1340,1200,1210,936,1000,1000,1000,1200,1400,1700,1700,1700
,,,,Actual,Actual,Actual,Actual+Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan
,Quarter,,,Q1,,,Q2,,,Q3,,,Q4
,Month,,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL,,LE0 2026,3.2026,04.2026 vs LE0 2026,04.2026 vs 2.2026
,Regular Root Grinding Volume,,MT,29398,30446.73,33527,18622,32289,30000,31000,37200,30250,45300,43650,35100,396782.73,,445200,406714.315651398,-48417.27,-9931.5856513981
,Average Regular Root Grinding ,,MT,1088.8148148148,1087.3832142857,1081.5161290323,775.9166666667,1041.5806451613,1000,1000,1200,1008.3333333333,1461.2903225806,1455,1350,1129.1529271562,,1271.0071017195,1156.5823455591,-141.8541745632,-27.4294184029
,Regular PPDS,,THB/kg,10.41,10.98,12,15.42,16.75,12.1666666667,12.94,12.6,12.3,11.95,11.73,11.54,,,,,0,0
,Waxy Root Grinding Volume,,MT,2720,2729,2114,3794,2900,0,0,0,0,3000,3000,3000,23257,,23876,24147,-619,-890
,GLUCOSE - Sales,,MT,5234,5504,5620,3646,3238,5017,5683,5522,5524,5605,5453,5343,61389,,66285.5,64268,-4896.5,-2879
,HMS - Sales,,MT,570,600,870,750,600,594,504,503,559,708,799,804,7861,,8220.3,7662,-359.3,199
,Total Glucose & HMS - Sales,,MT,5804,6104,6490,4396,3838,5611,6187,6025,6083,6313,6252,6147,69250,,74505.8,71930,-5255.8,-2680
,Stock Glucose Ending,,MT,973,852,713,711,1003,1092,1105,1080,1097,1084,1132,1285,,,,,0,0
,REGULAR STARCH - Production,,MT,2523.9,2518.42326,2716.1,254.2,1778,659.2422799807,643.2819555932,2548.4216890716,1073.0537766667,4700,4253.1440431818,3250,26917.7670044939,,33406.026879369,27182.3093332898,-6488.2598748752,-264.5423287959
,REGULAR STARCH - in-house total Sales,,MT,2029.13,4453.24,2012,1802,2967.76,2037.91,2260,2845,2366,2396,2854,1983,30006.04,,36370.34,29460.99,-6364.3,545.05
,REGULAR STARCH - 3P Export Sales,,MT,1094,1940,537,809,301,543,595,522,579,761,693,687,9061,,15676.8,8684,-6615.8,377
,REGULAR STARCH - 3P Domestic Sales,,MT,189,200,272,145,173,208,171,173,173,204,215,198,2321,,2431.58,2399,-110.58,-78
,REGULAR STARCH - Sales Network Optimize,,MT,0,0,0,0,0,0,250,250,250,250,300,250,1550,,3100,1570,-1550,-20
,REGULAR STARCH - Inco Sales (Export),,MT,746.13,1004.24,548,848,1473.76,793.91,827,1118,1050,782,1025,848,11064.04,,9001.96,10939.99,2062.08,124.05
,REGULAR STARCH - ISD Jumbo,,MT,0,1309,655,0,1020,493,417,782,314,399,621,0,6010,,6160,5868,-150,142
,REGULAR STARCH - END Inv (in-house),,MT,5015.77,3861.95326,4310.05326,2762.25326,1572.49326,193.8255399807,-1422.8925044262,-1719.4708153546,-3012.4170386879,-708.4170386879,690.7270044939,1957.7270044939
,On hold stock,,MT,485.46,1201,156.6,0,0,0,0,0,0,0,0,0
,REGULAR STARCH - SALEABLE INVENTORY,,MT,3976.83,2628.95326,4146.94026,2762.25326,1572.49326,193.8255399807,-1422.8925044262,-1719.4708153546,-3012.4170386879,-708.4170386879,690.7270044939,1957.7270044939
