,Day operation,,,27,28,31,24,31,30,30,31,31,31,30,26
,Average Regular Root Grinding/day in period no Grind Waxy,,,1340,1390,1700,1650,1650,1500,1400,1400,1400,1400,1400,1400
,,,,Actual,Actual,Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan,Plan
,Quarter,,,Q1,,,Q2,,,Q3,,,Q4
,Month,,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL,,LE0 2026,12.2025,01.2026 vs LE0 2026,01.2026 vs 12.2025
,Regular Root Grinding Volume,,MT,29398,34554,48100,30050,47700,42300,41800,41700,39700,38700,37350,30600,461952,,445200,443121,16752,18831
,Average Regular Root Grinding ,,MT,1088.8148148148,1234.0714285714,1551.6129032258,1252.0833333333,1538.7096774194,1410,1348.3870967742,1345.1612903226,1323.3333333333,1248.3870967742,1245,1176.9230769231,1313.5403376243,,1271.0071017195,1264.4249133483,42.5332359049,49.115424276
,Regular PPDS,,THB/kg,10.41,10.45,10.77,10.13,10.74,10.63,10.54,9.81,9.66,9.66,9.81,9.63,,,,,0,0
,Waxy Root Grinding Volume,,MT,2720,2850,2000,1665,1500,1225,900,900,1500,3000,3000,3000,24260,,23876,26990,384,-2730
,GLUCOSE - Sales,,MT,5234,5821,6016,5150,5343,5268,5859,5572,5624,5655,5453,5307,66302,,66285.5,64945.278,16.5,1356.722
,HMS - Sales,,MT,570,600,991,744,594,499,504,503,559,708,799,805,7876,,8220.3,8015.658,-344.3,-139.658
,Total Glucose & HMS - Sales,,MT,5804,6421,7007,5894,5937,5767,6363,6075,6183,6363,6252,6112,74178,,74505.8,72960.936,-327.8,1217.064
,Stock Glucose Ending,,MT,973,977,1070,1076,1139,972,1009,1034,1051,988,1036,1324,,,,,0,0
,REGULAR STARCH - Production,,MT,2523.9,3004.85,4735.7174733552,1550.7560935042,4083.088772421,3510.0059697453,3113.5463553142,3915.3907110332,3620.8961208575,3426.5833002267,3301.8737330045,1706.2177857028,38492.8263151646,,33406.026879369,35527.7818569883,5086.7994357956,2965.0444581764
,REGULAR STARCH - in-house total Sales,,MT,2029.13,4617.24,2987.83,2160,3984,3365,3078,3733,3758,2878,2310,2704,37604.2,,36370.34,37042.352,1233.86,561.848
,REGULAR STARCH - 3P Export Sales,,MT,1094,2116,1222,1325,1253,1314,1437,1259,1380,1338,1069,1302,16109,,15676.8,15195.075,432.2,913.925
,REGULAR STARCH - 3P Domestic Sales,,MT,189,197,278,225,265,223,212,212,215,246,256,237,2755,,2431.58,2425.594,323.42,329.406
,REGULAR STARCH - Sales Network Optimize,,MT,0,180,50,330,480,270,320,490,370,320,320,300,3430,,3100,3315,330,115
,REGULAR STARCH - Inco Sales (Export),,MT,746.13,815.24,791.83,189,989,972,927,863,884,974,665,865,9681.2,,9001.96,9814.683,679.24,-133.483
,REGULAR STARCH - ISD Jumbo,,MT,0,1309,646,91,997,586,182,909,909,0,0,0,5629,,6160,6292.0
,REGULAR STARCH - END Inv (in-house),,MT,5015.77,2007.44,2725.8174733552,2116.5735668594,2215.6623392804,2360.6683090257,2396.2146643399,2578.6053753731,2441.5014962307,2990.0847964573,3981.9585294618,2984.1763151646
,On hold stock,,MT,485.46,672.51,0,0,0,0,0,0,0,0,0,0
,REGULAR STARCH - SALEABLE INVENTORY,,MT,3976.83,977.93,2725.8174733552,2116.5735668594,2215.6623392804,2360.6683090257,2396.2146643399,2578.6053753731,2441.5014962307,2990.0847964573,3981.9585294618,2984.1763151646
