,Thailand Tapioca Production
,Crop Year,Yield,Crop Year,Plant Area,Production
,(October-September),(Ton/Rai),(October-September),(Rai),(Ton)
,2005/2006,3.375,2005/2006,6692537,22584402
,2006/2007,3.668,2006/2007,7201243,26411233
,2007/2008,3.401,2007/2008,7397098,25155797
,2008/2009,3.628,2008/2009,8292146,30088024
,2009/2010,3.013,2009/2010,7302839,22005740
,2010/2011,3.088,2010/2011,7096173,21912416
,2011/2012,3.362,2011/2012,7911323,26601090
,2012/2013,3.474,2012/2013,8138953,28275565
,2013/2014,3.492,2013/2014,8656942,30227542
,2014/2015,3.864,2014/2015,8697948,33610487
,2015/2016,3.426,2015/2016,8919803,30557857
,2016/2017,3.472,2016/2017,8910021,30935529
,2017/2018,3.474,2017/2018,8025131,27875464
,2018/2019,3.371,2018/2019,8560391,28859005
,2019/2020,2.908,2019/2020,8701451,25303981
,2020/2021,3.327,2020/2021,9507007,31632109
,2021/2022,3.332,2021/2022,10060895,33522353
,2022/2023,2.956,2022/2023,9023585,26675755
,2023/2024,2.716,2023/2024,8033480,21820671
,2024/2025,2.958,2024/2025,8445471,24983311
,2025/2026,,2025/2026,,18000000
,2026/2076,,2026/2027
