Year,Month,Plant,"LE0 PPDS, THB/kg","LV PPDS, THB/kg","Act. PPDS, THB/kg",TTSA Price,"Act. PPDS cost against TTSA, THB/kg","Est. PPDS cost against TTSA, THB/kg","Est. PPDS accuracy, %","Act. PPDS accuracy, %","LE0 Starch content, %","LV Starch content, %","Act. Starch content, %",LE0 Price THB/kg,LV Price THB/kg,Act. Price THB/kg
2023,Jan,Sikhiu,11.3879003559,11.9165487977,11.9177600841,16.52,4.6022399159,3.9,0.97,0.9536646107,0.281,0.2828,0.2828301231,3.2,3.37,3.3707015517
2023,Feb,Sikhiu,11.4130434783,12.4955752212,12.4998202709,16.9625,4.4626797291,3.9,0.97,0.9959983718,0.276,0.2825,0.2824614856,3.15,3.53,3.5307178039
2023,Mar,Sikhiu,11.641221374,14.0447378071,14.0331010788,17.6,3.5668989212,3.9,0.97,0.9496181827,0.262,0.2727,0.2727256994,3.05,3.83,3.827187307
2023,Apr,Sikhiu,12.7789046653,16.1117961365,16.1121950133,17.95,1.8378049867,3.9,0.97,0.965176942,0.2465,0.2433,0.2433130891,3.15,3.92,3.9203079403
2023,May,Sikhiu,13.2754880694,17.4866049683,17.4950835411,18.36,0.8649164589,3.9,0.97,0.9332266133,0.2305,0.2053,0.2053084221,3.06,3.59,3.5918879967
2023,Jun,Sikhiu,13.2754880694,15.8738107161,15.8253210629,18.425,2.5996789371,3.9,0.97,0.9100242129,0.2305,0.1997,0.2008,3.06,3.17,3.1777244694
2023,Jul,Sikhiu,12.6819126819,15.1696606786,15.1732353806,18.5,3.3267646194,3.9,0.97,0.9513000239,0.2405,0.22545,0.2256815911,3.05,3.42,3.4243199022
2023,Aug,Sikhiu,12.6272912424,14.9690721649,14.7811766222,18.5,3.7188233778,3.9,0.97,0.9711679778,0.2455,0.2425,0.2449875301,3.1,3.63,3.6212039532
2023,Sep,Sikhiu,12.5793650794,14.8310139165,14.9520286454,18.6,3.6479713546,3.9,0.97,0.9917715006,0.252,0.2515,0.2404,3.17,3.73,3.5944676863
2023,Oct,Sikhiu,12.140077821,14.7637795276,14.8596973631,18.7,3.8403026369,3.9,0.97,0.9866996921,0.257,0.254,0.2384414663,3.12,3.75,3.5431680277
