Year,Month,"Broker volume, tons","Farmer volume, tons","Regular volume, tons"
2023,Jan,14173.24,13789.06,27962.3
2023,Feb,14995.23,12347.84,27343.07
2023,Mar,21276.58,10268.74,31545.32
2023,Apr,17681.06,5512.96,23194.02
2023,May,23590.38,4115.23,27705.61
2023,Jun,12280.49,10308.22,22588.71
2023,Jul,21211.86,9026.44,30238.3
2023,Aug,22818.04,4186.83,27004.87
2023,Sep,16147.07,9357.63,25504.7
2023,Oct,19033.12,13708.45,32741.57
2023,Nov,19686.59,12918.15,32604.74
2023,Dec,16308.68,13250.31,29558.99
2024,Jan,16859.1,15148.69,32007.79
2024,Feb,17095.34,15084.58,32179.92
2024,Mar,17125.41,17245.09,34370.5
2024,Apr,14262.38,12594.11,26856.49
2024,May,33128.91,7438.85,40567.76
2024,Jun,30811.93,9476.56,40288.49
2024,Jul,33107.6,11604.03,44711.63
2024,Aug,34605.26,7320.74,41926
2024,Sep,26520.05,10751.96,37272.01
2024,Oct,24221.71,14704.11,38925.82
2024,Nov,20953.06,14818.9,35771.96
2024,Dec,18352.89,11715.65,30068.54
2025,Jan,15668.23,13752.61,29420.84
2025,Feb,19455.57,15065.82,34521.39
2025,Mar,22656.97,17764.72,40421.69
2025,Apr,12424.52,11848.37,24272.89
2025,May,31843.21,13529.1,45372.31
2025,Jun,25895.41,17178.17,43073.58
2025,Jul,40165.47,3824.3,43989.77
2025,Aug,34863.57,1047.99,35911.56
2025,Sep,24435.78,3171.55,27607.33
2025,Oct,22552.25,8548.18,31100.43
2025,Nov,28558.36,6954.98,35513.34
2025,Dec,22053.62,5352.13,27405.75
2026,Jan,24915.38,5038.93,29954.31
2026,Feb,25166.82,5158.76,30325.58
2026,Mar,27727.55,5799.6,33527.15
2026,Apr,17268.31,842.86,18111.17
2026,May,31301.5,1478.18,32779.68
2026,Jun,0.01,0.01,0.02
2026,Jul,0.01,0.01,0.02
2026,Aug,0.01,0.01,0.02
2026,Sep,0.01,0.01,0.02
2026,Oct,0.01,0.01,0.02
2026,Nov,0.01,0.01,0.02
2026,Dec,0.01,0.01,0.02
