month,price
Jan'24,4.6
Feb'24,4.2041666667
Mar'24,3.7980769231
Apr'24,3.24
May'24,3.2
Jun'24,3.2
Jul'24,3.2
Aug'24,3.2
Sep'24,3.0153846154
Oct'24,2.6653846154
Nov'24,2.4230769231
Dec'24,2.3125
Jan'25,2.3423076923
Feb'25,2.4818181818
Mar'25,2.4846153846
Apr'25,2.4
May'25,2.4
Jun'25,2.4230769231
Jul'25,2.45
Aug'25,2.6192307692
Sep'25,2.7461538462
Oct'25,2.85
Nov'25,3.0416666667
Dec'25,3.3681818182
Jan'26,3.65
Feb'26,3.9
Mar'26,4.3923076923
Apr'26,4.9222222222
May'26,5.5
