cropYear,yieldTonRai,plantAreaRai,productionTon
2006/2007,3.668,7201243,26411233
2007/2008,3.401,7397098,25155797
2008/2009,3.628,8292146,30088024
2009/2010,3.013,7302839,22005740
2010/2011,3.088,7096173,21912416
2011/2012,3.362,7911323,26601090
2012/2013,3.474,8138953,28275565
2013/2014,3.492,8656942,30227542
2014/2015,3.864,8697948,33610487
2015/2016,3.426,8919803,30557857
2016/2017,3.472,8910021,30935529
2017/2018,3.474,8025131,27875464
2018/2019,3.371,8560391,28859005
2019/2020,2.908,8701451,25303981
2020/2021,3.327,9507007,31632109
2021/2022,3.332,10060895,33522353
2022/2023,2.956,9023585,26675755
2023/2024,2.716,8033480,21820671
2024/2025,2.958,8445471,24983311
2025/2026,,,18000000
