date,domesticPrice,fobBangkok,fobHcmLowest,fobHcmHighest
2017-01-10,11.2,340,,
2017-01-17,11.2,340,,
2017-01-24,11,340,,
2017-01-31,11,340,,
2017-02-07,11,340,,
2017-02-14,11,340,,
2017-02-21,11,340,,
2017-02-28,11,340,,
2017-03-07,11.2,345,,
2017-03-14,11.2,345,,
2017-03-21,11.2,345,,
2017-03-28,11.2,345,,
2017-04-04,11.2,345,,
2017-04-11,11.2,345,,
2017-04-18,11.2,345,,
2017-04-25,11.2,345,,
2017-05-02,11.2,345,,
2017-05-09,11.2,345,,
2017-05-16,11.2,345,,
2017-05-23,11.2,345,,
2017-05-30,11,340,,
2017-06-06,10.8,340,,
2017-06-13,10.8,340,,
2017-06-20,10.8,340,,
2017-06-27,10.6,330,,
2017-07-04,10.7,335,,
2017-07-11,10.7,335,,
2017-07-18,10.7,335,,
2017-07-25,10.7,335,,
2017-08-01,10.7,340,,
2017-08-08,10.7,340,,
2017-08-15,10.7,340,,
2017-08-22,10.7,340,,
2017-08-29,10.7,340,,
2017-09-05,10.7,340,,
2017-09-12,10.8,345,,
2017-09-19,10.9,345,,
2017-09-26,10.9,345,,
2017-10-03,11.1,355,,
2017-10-10,11.2,360,,
2017-10-17,11.4,370,,
2017-10-24,11.5,370,,
2017-10-24,11.6,375,,
2017-10-31,11.9,380,,
2017-11-07,12,385,,
2017-11-14,12.3,395,,
2017-11-21,12.8,410,,
2017-11-28,13.2,430,,
2017-12-05,13.2,430,,
2017-12-12,13.2,430,,
2017-12-19,13.2,430,,
2017-12-26,13.3,435,,
2018-01-09,13.3,435,,
2018-01-16,13.3,435,,
2018-01-23,13.4,440,,
2018-01-30,13.7,465,,
2018-02-06,13.8,465,,
2018-02-13,14,475,,
2018-02-20,14.2,485,,
2018-02-27,14.5,495,,
2018-03-06,15.1,510,,
2018-03-13,15.4,520,,
2018-03-20,15.5,525,,
2018-03-27,15.8,535,,
2018-04-03,16,540,,
2018-04-10,16,540,,
2018-04-17,16,540,,
2018-04-24,16.2,545,,
2018-05-01,16.5,550,,
2018-04-08,16.6,550,,
2018-05-08,16.6,550,,
2018-05-15,16.7,550,,
2018-05-22,16.7,550,,
2018-06-05,16.4,540,,
2018-06-12,16,530,,
2018-06-19,15.8,520,,
2018-06-26,15.8,520,,
2018-07-03,15.6,500,,
2018-07-10,15.4,495,,
2018-07-17,15.4,495,,
2018-07-24,15.4,495,,
2018-07-31,15.1,485,,
2018-08-07,15.1,485,,
2018-08-14,15.1,485,,
2018-08-21,15.1,490,,
2018-08-28,15.2,495,,
2018-09-04,15.3,500,,
2018-09-11,15.3,500,,
2018-09-18,15.4,510,,
2018-09-25,15.5,510,,
2018-10-02,15.5,515,,
2018-10-09,15.5,515,,
2018-10-16,15.5,515,,
2018-10-23,15.5,515,,
2018-10-30,15.3,505,,
2018-11-06,15,495,,
2018-11-13,14.75,475,,
2018-11-20,14.5,465,,
2018-11-27,14.2,455,,
2018-12-04,13.8,445,,
2018-12-11,13.8,445,,
2018-12-18,13.8,445,,
2018-12-25,13.8,445,,
2019-01-08,13.8,445,,
2019-01-15,13.8,445,,
2019-01-22,13.8,445,,
2019-01-29,13.5,445,,
2019-02-05,13.5,445,,
2019-02-12,13.5,450,,
2019-02-19,13.5,450,,
2019-02-26,13.6,455,,
2019-03-05,13.6,455,,
2019-03-12,13.6,455,,
2019-03-19,13.8,465,,
2019-03-26,13.8,465,,
2019-04-02,13.8,465,,
2019-04-09,13.8,465,,
2019-04-16,13.8,465,,
2019-04-23,13.8,465,,
2019-04-30,13.6,460,,
2019-05-07,13.6,460,,
2019-05-14,13.5,455,,
