workbook,sheet,plant,year,month,monthNo,brokerVolume,farmerVolume,regularVolume
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Jan,1,4804.6,10274.13,15078.73
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Feb,2,2640.5,9157.19,11797.69
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Mar,3,8018.24,6003.38,14021.62
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Apr,4,9221.1,3760.88,12981.98
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,May,5,7702.79,9633.86,17336.65
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Jun,6,5578.19,8101.1,13679.29
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Jul,7,3548.08,16428.05,19976.13
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Aug,8,2506.02,18052.19,20558.21
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Sep,9,3520.43,15420.86,18941.29
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Oct,10,11094.08,9593.27,20687.35
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Nov,11,16434.21,4362.5,20796.71
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2023,Dec,12,7325.32,6907.6,14232.92
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Jan,1,4234.08,9575.65,13809.73
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Feb,2,3245.03,10546.3,13791.33
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Mar,3,1338.08,13492.02,14830.1
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Apr,4,2640.81,10200.57,12841.38
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,May,5,8986.26,13518.02,22504.28
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Jun,6,14170.48,8314.46,22484.94
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Jul,7,6892.07,14025.3,20917.37
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Aug,8,0,19932.19,19932.19
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Sep,9,234.47,16762.41,16996.88
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Oct,10,4387.25,12948.55,17335.8
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Nov,11,15117.52,2410.03,17527.55
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2024,Dec,12,11345.16,4061.9,15407.06
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Jan,1,9676.56,3403.51,13080.07
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Feb,2,5930.81,7503.66,13434.47
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Mar,3,3267.41,11132.67,14400.08
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Apr,4,7069.06,7272.36,14341.42
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,May,5,12334.76,8752.76,21087.52
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Jun,6,12229.01,7610.76,19839.77
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Jul,7,8406.65,13120.33,21526.98
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Aug,8,4467.04,13494.76,17961.8
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Sep,9,4044.1,12933.71,16977.81
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Oct,10,12841.05,5018.33,17859.38
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Nov,11,16879.28,913.569,17792.849
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2025,Dec,12,11504.19,1842.913,13347.103
KSN Root Sourcing report App.xlsx,Volume.KSN,Kalasin,2026,Jan,1,13961.18,1649.441,15610.621
